ISBN	题名/责任者	出版项	索书号	馆藏位置	
978-7-5699-1483-2	世界500强对外演示制作方法与说服技巧== 社外プレゼンの資料作成術 / (日) 前田镰利著; 范丹译 jpn	"北京: 北京时代华文书局, 2017"	H019/268	第二书库（六教一楼）	
978-7-300-24870-7	"TED演讲的秘密: 18分钟改变世界: 双语版 / (美) 杰瑞米·多诺万著== How to deliver a ted talk: secrets of the world's most inspiring presentations / Jeremey Donovan; 冯颙, 安超译 eng"	"北京: 中国人民大学出版社, 2017"	H019/269	第二书库（六教一楼）	
978-7-307-19422-9	聆听:向死而生 / (法) 菲利普·纳西夫著; 王倩译	"武汉: 武汉大学出版社, 2017"	H033/78	第二书库（六教一楼）	
978-7-308-16982-0	完美演讲== Successful presenting / (英) 戴维·布朗著; 杨景皓译 eng	"杭州: 浙江大学出版社, 2017"	H109/3	第二书库（六教一楼）	
978-7-308-17065-9	商务写作课 / (英) 马丁·曼瑟著== Effective business writing / Martin Manser; 余悦译 eng	"杭州: 浙江大学出版社, 2017"	H152.3/482	第二书库（六教一楼）	
978-7-121-30277-0	实用文书写作== Practical writing / 主编陈苏彬 eng	"北京: 电子工业出版社, 2017"	H152.3/483	第二书库（六教一楼）	
978-7-5682-4361-2	"经济应用文写作 / 主编陈丽红, 王晓祥, 王丹丹"	"北京: 北京理工大学出版社, 2017"	H152.3/484	第二书库（六教一楼）	
978-7-121-30988-5	"财经应用文写作 / 陈文渊,黄绮冰,周颖丽主编"	"北京: 电子工业出版社, 2017"	H152.3/485	第二书库（六教一楼）	
978-7-301-28000-3	"大学语文 / 主编程箐, 刘汉波"	"北京: 北京大学出版社, 2017"	H193.9/4	第二书库（六教一楼）	
978-7-5180-3648-6	"古文观止全鉴: 珍藏版 / (清) 吴楚材, 吴调侯编选; 东篱子解译"	"北京: 中国纺织出版社, 2017"	H194.1/38	第二书库（六教一楼）	
978-7-5327-7531-6	"四级词汇精讲精练 / 黄晓静, 郑婕主编"	"上海: 上海译文出版社, 2017"	H195.4/55	第二书库（六教一楼）	
978-7-5500-2428-1	"嗨, 早知道英语我就这么学了: 管鑫Sam的英语高手养成手记 / 管鑫Sam著"	"南昌: 百花洲文艺出版社, 2017"	H31/2056	第二书库（六教一楼）	
978-7-5180-3295-2	图解美国人每天必用的单词句型== Mind map English / Proud出版社编辑部编著 eng	"北京: 中国纺织出版社, 2017"	H313.1/602	第二书库（六教一楼）	
978-7-5170-5488-7	单词密码== Word's secret 突破英文词汇5000 / 胡惠芳编著 eng	"北京: 中国水利水电出版社, 2017"	H313/479	第二书库（六教一楼）	
978-7-100-14108-6	薄冰英语冠词== English articles / 薄冰编著 eng	"北京: 商务印书馆, 2017"	H314.2/39	第二书库（六教一楼）	
978-7-5600-2707-4	新编大学英语语法与练习 xin bian da xue ying yu yu fa yulian xi / 陈仲利主编	"北京: 外语教学与研究出版社, 2002"	H314/381	第二书库（六教一楼）	
978-7-5643-5370-4	我的英文名叫“笨”== A wake-up call to English learning / (新) Andrew·蒋著; 肖渊译 eng	"成都: 西南交通大学出版社, 2017"	H319.3/115	第二书库（六教一楼）	
978-7-5103-1911-2	大学英语教学模式问题与对策研究 / 冯改著	"北京: 中国商务出版社, 2017"	H319.3/116	第二书库（六教一楼）	
978-7-5628-5105-9	超好记超好用的四级单词练习本 / 主编金利	"上海: 华东理工大学出版社, 2017"	H319.34/46	第二书库（六教一楼）	
978-7-5628-5106-6	超好记超好用的六级单词练习本 / 主编金利	"上海: 华东理工大学出版社, 2017"	H319.34/47	第二书库（六教一楼）	
978-7-307-19312-3	走进英国== Understanding the UK / 艾蓉 ... [等] 编	"武汉: 武汉大学出版社, 2017"	H319.37/68	第二书库（六教一楼）	
978-7-5672-2146-8	"英国文学选读== Selected readings in English literature / 主编方红, 朱新福 eng"	"苏州: 苏州大学出版社, 2017"	H319.37/69	第二书库（六教一楼）	
978-7-5605-9801-7	新编英国文学选读== Selected readings of English literature / 主编李公昭 eng	"西安: 西安交通大学出版社, 2017"	H319.4/1538	第二书库（六教一楼）	
978-7-308-17280-6	"中国文化阅读== Chinese culture reading in English: 3000单词话中国 / 黄建滨, 阮丹主编 eng"	"杭州: 浙江大学出版社, 2017"	H319.4/1539	第二书库（六教一楼）	
